	codificacao_foto	ano	mes	dia	data	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema	Categoria 2	Com que frequência isso ocorre	Consegue nos informar o endereço de onde a foto/vídeo foi tirada	Em que localidade fica	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma	A quem recorreu
250	20200303_0944	2020	3	3	20200303.0	Segue algumas fotos de uns dos problemas q estamos enfrentando	Esgoto a céu aberto	Esgoto	Frequentemente	Ciclovia Pinheiro	Vila dos Pinheiros	-2286323	-4323786	Não menciona	Não menciona
251	20200305_0821	2020	3	5	20200305.0	Sem informacao	Esgoto a céu aberto	Esgoto	Frequentemente	Via A1. É uma ruazinha subindo para campo da toca.proximo ao sacolão da nena	Vila dos Pinheiros	-228681	-4323766	Não menciona	Não menciona
252	20200529_1228(2)	2020	5	29	20200529.0	Esse esgoto estar assim a bastante tempo a cedae já veio uma vez arrumou com menos de uma semana voltou a ficar assim novamente	Bueiro entupido	Esgoto	Diariamente	Essa e a travessa Brasil na vila do Pinheiro	Vila dos Pinheiros	Sem informacao	Sem informacao	Sim	Cedae
253	20201208_2107	2020	12	8	20201208.0	Boa Tarde Meus Amigos esgoto a céu aberto na Rua Principal perto do Detran da Baixa	Esgoto a céu aberto	Esgoto	Frequentemente	Rua Principal perto do Detran da Baixa	Baixa do Sapateiro	-2285891	-4324137	Não menciona	Não menciona
254	20201209_0812	2020	12	9	20201209.0	Bom Dia Cocozap esgoto a céu aberto na Obrinha Número 5 Vila Do Pinheiro	Bueiro entupido	Esgoto	Frequentemente	Obrinha Número 5 Vila Do Pinheiro	Vila dos Pinheiros	Sem informacao	Sem informacao	Não menciona	Não menciona
255	20201216_1139	2020	12	16	20201216.0	Sem informacao	Esgoto a céu aberto	Esgoto	Frequentemente	Trv.operario fortes,roquete pinto... No beco do lado da associação dos moradores	Roquete Pinto	Sem informacao	Sem informacao	Não menciona	Não menciona
256	20210124_0056	2021	1	24	20210124.0	Choveu e ficou muito alagado	Alagamento	Esgoto	Ocasionalmente	Rua da saúde vila do João/ calçado do Upa	Vila do João	-2287018	-4324343	Não menciona	Não menciona
257	20210126_2041	2021	1	26	20210126.0	Foi na terça feira não é um problema direito não	Esgoto a céu aberto	Esgoto	Ocasionalmente	Rua Capivari perto do Museu da Maré Timbau	Morro do Timbau	-2286507	-4324242	Não menciona	Não menciona
258	20210312_1055	2021	3	12	20210312.0	Pelo que conversei com quem me falou do problema, é quase sempre que chove. As vezez, mesmo sem chuva fica assim.	Esgoto a céu aberto	Esgoto	Ocasionalmente	Fica na Rua Manoel Ribeiro Vasconcelos, Conjunto Esperança.Altura do número 13. (Próximo ao segundo campo)	Conjunto Esperança	-2287474	-4323717	Não menciona	Não menciona
259	20210312_1628	2021	3	12	20210312.0	Recebi o vídeo e a foto de outro morador da Maré. Mas da Favela Roquete Pinto. E é extremamente frequente no Piscinão de Ramos.	Esgoto a céu aberto	Esgoto	Frequentemente	Fica no Beco 7 de Setembro. Altura do número 10	Roquete Pinto	Sem informacao	Sem informacao	Não menciona	Não menciona
260	20210313_1606	2021	3	13	20210313.0	Recebi essas fotos de um morador do Piscinão de Ramos. Por coincidência, já tinha passado pelo local. Lixo a céu aberto, com uma grande quantidade de ratos.	Acúmulo de lixo e entulho	Lixo	Diariamente	Na avenida Brasil, altura da passarela 12. Ponto de acesso para o Piscinão.	Roquete Pinto	-2284296	-4325059	Não menciona	Não menciona
261	20210316_1546	2021	3	16	20210316.0	sempre que chove muito alaga. mas n tanto assim. essa foi a primeira vez q vi dessa forma	Alagamento	Esgoto	Ocasionalmente	rua joão araújo na altura da av brasil, num 32	Parque Rubens Vaz	-2285291	-4324559	Não menciona	Não menciona
262	20210316_1647	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	Favela Roquete Pinto - Piscinão de Ramos. Aqui é no Beco 7 de Setembro, altura do número 15 - Roquete Pinto (Piscinão de Ramos)	Roquete Pinto	Sem informacao	Sem informacao	Não menciona	Não menciona
263	20210316_1648	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	Rua Teixeira Ribeiro	Parque Maré	-2285594	-4324529	Não menciona	Não menciona
264	20210316_1656	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	Via B9 - Altura do número 20.	Vila dos Pinheiros	-2287007	-4323928	Não menciona	Não menciona
265	20210316_1749	2021	3	16	20210316.0	mas chuva normal não enche tanto	Alagamento	Esgoto	Ocasionalmente	rua Ari leão no parque união, ao lado da picanha do juscelino	Parque União	-228507	-4324479	Não menciona	Não menciona
266	20210316_1753	2021	3	16	20210316.0	Alaga em chuvas fortes	Alagamento	Esgoto	Ocasionalmente	Rua João Araújo, parque Rubens Vaz, Ao lado do bar do Miguel, próximo a quadra	Parque Rubens Vaz	-2285243	-4324412	Não menciona	Não menciona
267	20210316_1812	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	Fica no C11 - Pinheiro	Vila dos Pinheiros	-2286962	-4323807	Não menciona	Não menciona
268	20210316_1848	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	B3 - Pinheiro ( Perto do Brizolao)	Vila dos Pinheiros	-2286861	-4323738	Não menciona	Não menciona
269	20210316_1941	2021	3	16	20210316.0	Sem informacao	Alagamento	Esgoto	Ocasionalmente	Esse é na rua João Araújo na Rubens Vaz, Próximo ao campo	Parque Rubens Vaz	-228523	-432437	Não menciona	Não menciona
270	20210320_1141	2021	3	20	20210320.0	Video feito hoje (20/03/2021).Problema iniciado ontem. Vazamento de esgoto, cheiro muito forte, num espaço onde fica um restaurante em frente. Ou seja, impacto na saúde e na economia do local, já que os clientes se incomodam com o cheiro.	Transbordamento de esgoto	Esgoto	Ocasionalmente	Fica na Rua Manoel Ribeiro , altura do número 15	Conjunto Esperança	-2287479	-4323728	Não menciona	Não menciona
271	20210325_0822	2021	3	25	20210325.0	Sem informacao	Acúmulo de lixo	Lixo	Diariamente	Essas duas fotos foram tiradas na Entrada do Parque União. Avenida Brasil. Altura da Antiga Passarela Caracol.	Parque União	-2285313	-4324735	Não menciona	Não menciona
272	20210325_0825	2021	3	25	20210325.0	Sem informacao	Acúmulo de lixo	Lixo	Diariamente	Na Nova Holanda. Na Rua ao lado do CIEP	Nova Maré	-2285793	-4323988	Não menciona	Não menciona
273	20210330_1341	2021	3	30	20210330.0	Recebi esse vídeo de um morador do Piscinão de Ramos. Relatos que esse esgoto causa o aparecimento de muitos ratos.	Esgoto a céu aberto	Esgoto	Frequentemente	Travessa Santo Antônio, altura do número 50.	Roquete Pinto	-2284223	-4324848	Não menciona	Não menciona
274	20210407_1750	2021	4	7	21210407.0	Gosto de terra pura amarelada pra marron	Qualidade da água	Abastecimento de água	Ocasionalmente	21044750 Rua um n14 parque maré	Parque Maré	-2285522	-432428	Não menciona	Não menciona
275	20210407_1718	2021	4	7	21210407.0	A água está com muito gosto de terra	Qualidade da água	Abastecimento de água	Ocasionalmente	Rua Joaquim.nabuco, Parque Maré, Muro da real	Parque Maré	-2285687	-4324436	Não menciona	Não menciona
276	20210522_1548	2021	5	22	20210522.0	Assim se encontra o quintal onde minha avó mora! Ja ligamos diversas vezez pra cedae, porém a mesma fala que vai vir resolver o problema e nunca vem. Peço encarecidamente que dêem uma atenção pra esse caso.	Transbordamento de esgoto	Esgoto	Frequentemente	Situada na rua castelo branco nº 47 nova holanda	Parque Maré	-2285719	-4324445	Sim	Cedae
277	20210528_0937	2021	5	28	20210528.0	A situação aqui está tensa, cedar vem desentupir e no dia seguinte a situação. Sim, os trabalhadores da CEDAE já disseram que a rede de esgoto não é apropriada para a demanda. volta a ficar dessa maneira.	Bueiro entupido	Esgoto	Frequentemente	rua 29 de Julho - parque maré	Parque Maré	-2285822	-4324487	Sim	Cedae
278	20210607_1311	2021	6	7	20210607.0	Gostaria de informar de um esgoto entupido aqui na baixa, rua são Jorge.	Bueiro entupido	Esgoto	Frequentemente	rua são Jorge, próximo ao lgo do quarto centenário	Baixa do Sapateiro	Sem informacao	Sem informacao	Não menciona	Não menciona
279	20210624_2129	2021	6	24	20210624.0	vazamento de esgoto rua princesa isabel. acomtece as vezes	Bueiro entupido	Esgoto	Frequentemente	Rua princesa isabel, perto da esquina com a rua bela	Parque Maré	-2285732	-4324433	Não menciona	Não menciona
280	20210624_2147	2021	6	24	20210624.0	Acúmulo de lixo na esquina da teixeira com a av. brasil. fica assim todo dia	Acúmulo de lixo	Lixo	Diariamente	esquina da teixeira com a av. brasil.	Parque Maré	-2285622	-4324741	Não menciona	Não menciona
281	20210707_1002	2021	7	7	20210707.0	esse esgoto sempre entope e quem resolve são os moradores	Bueiro entupido	Esgoto	Frequentemente	rua princesa isabel, altura do beira mar	Parque Maré	-2285759	-432442	Não menciona	Não menciona
282	20211019_1255	2021	10	19	20211019.0	Sem informacao	Alagamento	Drenagem	Frequentemente	rua do miolo	Parque Rubens Vaz	Sem informacao	Sem informacao	Não menciona	Não menciona
283	20211213_1009	2021	12	13	20211213.0	Sem informacao	Alagamento	Drenagem	Frequentemente	av.brasil	Nova Holanda	Sem informacao	Sem informacao	Não menciona	Não menciona
284	20211213_1009(2)	2021	12	13	20211213.0	Sem informacao	Alagamento	Drenagem	Frequentemente	rua principal	Nova Holanda	Sem informacao	Sem informacao	Não menciona	Não menciona
285	20211214_1922	2021	12	14	20211214.0	Sem informacao	Alagamento	Drenagem	Frequentemente	Rua nova Jerusalém	Baixa do Sapateiro	Sem informacao	Sem informacao	Não menciona	Não menciona
286	20220201_1053	2022	2	1	20220201.0	Sem informacao	Alagamento	Drenagem	Ocasionalmente	Beco 7 de setembro	Roquete Pinto	Sem informacao	Sem informacao	Não menciona	Não menciona
287	20220316_1239	2022	3	16	20220316.0	'Venho aqui relatar uma situação que, infelizmente, vem deixando os moradores da rua Gratidão e adjacentes, bem revoltados,
 que é a falta de água. Aqui na minha rua um prédio com mais de
 3 famílias se encontra sem água mais de 2 meses, e nele se encontra uma senhora já idosa e mais de 4 crianças. Nós, eu e esses
