Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
84	Sim	20210625	20210625_1307	Canteiro com acúmulo de lixo	Acúmulo de lixo	Acúmulo de lixo	Sim	Lixo	Diariamente	rua da proclamação, próximo ao número 152 e a ediouro na baixa	Baixa do Sapateiro	-22.86071	-43.24568		
85	Sim	20210625	20210625_1309	Vazamento de esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Diariamente	rua da proclamação em frente a fabrica ediouro , prox aí n156, baixa	Baixa do Sapateiro	-22.86069	-43.24579		
86	Sim	20210628	20210628_1238	-	Esgoto a céu aberto	Bueiro entupido	Não	Esgoto	Frequentemente	Rua Deodoro Da Fonseca, próximo a esquina com a rua Ari Leão	Parque União	-22.85117	-43.24629		
87	Sim	20210628	20210628_1241	Morador diz que o problema é de grande frequência à noite	Bueiro entupido	Não precisa	Não	Esgoto	Diariamente	Rua Maurício de Nassau, no início próximo a Roberto da Silveira	Parque União	-22.85146	-43.24487		
88	Sim	20210628	20210628_1244	-	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua Rio Preto com Rua Duque de Caxias.	Parque União	-22.85069	-43.24434		
89	Sim	20210628	20210628_1252	-	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua da Conquista, no trecho Entre a esquina com a Rua rio Preto e a Rua Ari Leoa	Parque União	-22.85048	-43.2441		
90	Sim	20210629	20210629_1612	-	Acúmulo de lixo	Não precisa		Lixo	Diariamente	Travessa 57 esquina com A 1 muito lixo , fica na vila do Pinheiro	Vila dos Pinheiros	-22.86934	-43.23775		
91	Sim	20210702	20210702_1218	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	rua dos Caetés , próximo ao bar do seu Zé	Morro do Timbau	-22.86247	-43.24146		
92	Sim	20210702	20210702_1218	Vazamento de água	Transbordamento de água	Transbordamento de esgoto	Sim	Esgoto	Ocasionalmente	beco dos Caetés , ao lado de um bar , timbau	Morro do Timbau	-22.86245	-43.24061		
93	Sim	20210702	20210702_1219	Entulho 	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	beco dos Caetés , ao lado do bar !! Timbau	Morro do Timbau	-22.86243	-43.24027		
94	Sim	20210702	20210702_1234	Vazamento de água	Transbordamento de água	Não precisa		Abastecimento de água	Frequentemente	beco bela vista em frente ao número 9	Baixa do Sapateiro	-22.86137	-43.2418		
95	Sim	20210702	20210702_1236	Bueiro entupido	Transbordamento de esgoto	Boca de lobo entupida	Não	Drenagem	Frequentemente	rua das oliveiras em frente ao número 30, baixa	Baixa do Sapateiro	-22.86097	-43.24188		
96	Sim	20210702	20210702_1237	Vazamento de esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	rua das Oliveiras em frente ao 32, baixa	Baixa do Sapateiro	-22.86097	-43.24163		
97	Sim	20210702	20210702_1245	Esgoto aberto	Transbordamento de esgoto	Problemas com bueiro		Esgoto	Diariamente	beco da rua das oliveiras , em frente à loja esquadrilha ! Baixa	Baixa do Sapateiro	-22.86084	-43.24152		
98	Sim	20210702	20210702_1246	Morador desentupindo bueiro de esgoto	Bueiro entupido	Não precisa		Esgoto	Ocasionalmente	rua das oliveiras próximo ao número 83	Baixa do Sapateiro	-22.86121	-43.24113		
99	Sim	20210702	20210702_1301	Cano vazando	Transbordamento de esgoto	Não precisa	Não	Esgoto	Frequentemente	beco da rua das oliveiras ,n70, entrada do beco altura do número 39, baixa	Baixa do Sapateiro	-22.86132	-43.24022		
