Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
172	Sim	20210729	20210729_1336	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua João Araújo	Parque Rubens Vaz	-22.85315	-43.24646		
173	Sim	20210729	20210729_1336	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua João Araújo	Parque Rubens Vaz	-22.85311	-43.24621		
174	Sim	20210729	20210729_1336	-	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Rua João Araújo	Parque Rubens Vaz	-22.85304	-43.24599		
175	Sim	20210730	20210730_1230	-	Acúmulo de lixo	Não precisa		Lixo	Não informado	Rua Flavia Farnese (485) Baixa do Sapateiro	Baixa do Sapateiro	-22.86031	-43.24606		
175	Não	20210730	20210730_1230	-	Esgoto a céu aberto	Não precisa		Esgoto	Não informado	Rua Flavia Farnese (485) Baixa do Sapateiro	Baixa do Sapateiro	-22.86031	-43.24606		
176	Sim	20210730	20210730_1236	-	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Rua paraibuna/ Baixa do Sapateiro	Baixa do Sapateiro	-22.85915	-43.2453		
177	Sim	20210730	20210730_1237	-	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Rua ivanildo alvez, em frente ao beco santa Izabel. Baixa do Sapateiro	Baixa do Sapateiro	-22.85898	-43.24441		
178	Sim	20210730	20210730_1254	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Não informado	Entulho e lixo no beco Santa luzia n 9b, entrada pela rua Ivanildo Alvez	Baixa do Sapateiro	-22.85908	-43.24439		
179	Sim	20210730	20210730_1254	-	Esgoto a céu aberto	Não precisa		Esgoto	Não informado	beco santa luzia n 9b, entrada pela rua do serviço	Baixa do Sapateiro	-22.85917	-43.24368		
180	Sim	20210806	20210806_1237	Esgoto aberto	Esgoto a céu aberto	Problemas com bueiro		Esgoto	Frequentemente	Travessa alegria n9	Morro do Timbau	-22.86487	-43.24312		
181	Sim	20210806	20210806_1238	Acúmulo de lixo e entulho	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	travessa trindade	Morro do Timbau	-22.86455	-43.24296		
182	Sim	20210806	20210806_1238	Lixo e esgoto	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Travessa trindade n3 timbau	Morro do Timbau	-22.86286	-43.23959		
183	Sim	20210810	20210810_1906	Lixo na rua	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua nossa senhora da Penha, próximo a padaria da Solange 	Marcílio Dias	-22.82108	-43.27253		
184	Sim	20210810	20210810_1908	Bueiro entupido 	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Travessa coração de Jesus, próximo ao número 13	Marcílio Dias	-22.81982	-43.27267		
185	Não	20210810	20210810_1910	Vazamento de água na rua toda 	Transbordamento de água	Alagamento		Drenagem	Não informado	travessa Floriano Peixoto	Marcílio Dias	-22.81862	-43.27319		
186	Não	20210810	20210810_1910	Bueiro entupido	Bueiro entupido	Não precisa		Esgoto	Não informado	Travessa da Tranquilidade	Marcílio Dias	-22.82079	-43.27371		
187	Não	20210806	20210806_1844	Travessa com água vazando 	Transbordamento de água	Alagamento		Drenagem	Frequentemente	Travessa 18	Vila dos Pinheiros	-22.86485	-43.23416		
188	Não	20210806	20210806_1845	Vazamento de água travessa	Transbordamento de água	Alagamento		Drenagem	Frequentemente	Travessa 18	Vila dos Pinheiros	-22.86485	-43.23416		
189	Não	20210806	20210806_18451	Vazamento de esgoto na rua	Esgoto a céu aberto	Não precisa		Esgoto	Não informado	Av Seletiva prox 46	Vila dos Pinheiros	-22.86353	-43.23572		
190	Não	20210806	20210806_1847	Esgoto vazando	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Av Seletiva prox 46	Vila dos Pinheiros	-22.86345	-43.23591		
191	Não	20210806	20210806_1850	Esgoto vazando	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Av Seletiva prox 48	Vila dos Pinheiros	-22.86353	-43.23572		
192	Não	20210806	20210806_1851	Lixo na rua e esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Av Seletiva prox 58	Vila dos Pinheiros	-22.86347	-43.23549		
193	Não	20210806	20210806_1852	Caçamba cheia 	Acúmulo de lixo	Não precisa		Lixo	Não informado	Av Seletiva prox a C8	Vila dos Pinheiros	-22.86373	 -43.2351		
194	Não	20210806	20210806_18522	Caçamba cheia 	Acúmulo de lixo	Não precisa		Lixo	Não informado	Av Seletiva prox a C8	Vila dos Pinheiros	-22.86369	-43.23519		
195	Não	20210806	20210806_1853	Esgoto vazando	Bueiro entupido	Boca de lobo entupida		Drenagem	Frequentemente	Rua C7	Vila dos Pinheiros	-22.86332	 -43.23648		
196	Não	20210806	20210806_1854	Acúmulo de lixo	Acúmulo de lixo	Acúmulo de lixo e entulho		Lixo	Não informado	Av Canal prox a Av Bento Ribeiro Dantas	Vila dos Pinheiros	-22.86388	 -43.23879		
197	Não	20210809	20210809_1637	Queixa recorrente	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	beco do tripeiro tia praia de Inhauma n11	Baixa do Sapateiro	-22.86171	-43.23893		
198	Não	20210810	20210810_1205	Queixa recorrente , acúmulo de lixo	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	venida Guilherme Maxuel, em frente ao EDI Quelita de Paula	Morro do Timbau	-22.86517	-43.24283		
199	Não	20210813	20210813_1402	Lixo espalhado	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Av canal 74 	Vila do João	-22.86982	-43.2412		
200	Não	20210813	20210813_1708	Esgoto vazando	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua 14 número 6	Vila do João	-22.87185	-43.23977		
201	Não	20210813	20210813_1710	Rua alagada	Alagamento	Não precisa		Drenagem	Ocasionalmente	Rua germano Firmino dos Santos próximo a av canal 	Conjunto Esperança	-22.87507	-43.23779		
202	Não	20210813	20210813_1711	Bueiro com entulho	Bueiro entupido	Problemas com bueiro		Esgoto	Ocasionalmente	Rua 12 na vila do João próximo ao número 295	Vila do João	-22.8707	43.24038		
203	Não	20210813	20210813_1715	Canaleta com Esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Travessa Principal, Canaleta com Esgoto	Nova Holanda	-22.85874	-43.24221		
204	Não	20210813	20210813_1717	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Evanildo Alves	Baixa do Sapateiro	-22.85866	-43.24346		
205	Não	20210813	20210813_1719	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Evanildo Alves	Baixa do Sapateiro	-22.85901	-43.24458		
206	Não	20210813	20210813_1721	-	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Evanildo Alves	Baixa do Sapateiro	-22.85902	-43.24452		
207	Não	20210816	20210816_2316	Beco alagado	Alagamento	Não precisa		Drenagem	Frequentemente	Beco Jardim América	Marcílio Dias	-22.82067	 -43.27386		
208	Não	20210816	20210816_23161	Beco alagado 	Alagamento	Não precisa		Drenagem	Frequentemente	Beco Jardim América	Marcílio Dias	-22.8208	-43.27401		
209	Não	20210816	20210816_23162	Travessa alagada	Alagamento	Não precisa		Drenagem	Frequentemente	Beco Jardim América	Marcílio Dias	-22.82069	-43.27413		
210	Não	20210816	20210816_2323	Rua com acúmulo frequente de lixo	Acúmulo de lixo	Acúmulo de lixo e entulho		Lixo	Frequentemente	Rua do Alpiste com a Rua Ns Sra da Penha	Marcílio Dias	-22.81828	-43.27387		
211	Não	20210816	20200816_1309	Entulho	Acúmulo de lixo e entulho	Não precisa		Lixo	Ocasionalmente	Entulho no baco Monteiro , em frente a casa 2 entrada pela travessa Jerusalém timbau	Morro do Timbau	-22.86193	-43.24205		
212	Não	20210820	20210820_1714	-	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Travessa 52 prox a B8	Vila dos Pinheiros	-22.8681	-43.23548		
213	Não	20210820	20210820_1716	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Travessa 57 com a 56	Vila dos Pinheiros	-22.86925	 -43.23674		
214	Não	20210820	20210820_1720	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Via C11 esquina com a Via B9	Conjunto Pinheiros	-22.86964	 -43.23951		
215	Não	20210820	20210820_1722	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Via C11 prox a Via B9	Conjunto Pinheiros	-22.86957	-43.23955		
216	Não	20210820	20210820_1813	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Via C11 - Marrocos	Conjunto Pinheiros	-22.86985	 -43.24028		
216	Não	20210820	20210820_1813	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Via C11 - Marrocos	Conjunto Pinheiros	-22.86985	 -43.24028		
217	Não	20210903	20210903_1500	-	Transbordamento de água	Alagamento		Drenagem	Frequentemente	Travessa 28 	Vila dos Pinheiros	-22.86726	-43.23504		
218	Não	20210903	20210903_1501	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Projetada C 	Salsa e Merengue	-22.87275	-43.23766		
219	Não	20210903	20210903_1502	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Rua Projetada C	Salsa e Merengue	-22.87204	-43.23825		
220	Não	20210903	20210903_1503	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Rua Projetada C	Salsa e Merengue	-22.8721	-43.23812		
221	Não	20210903	20210903_1504	-	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua 13 prox a Av Canal 2 	Vila do João	-22.87118	-43.23984		
222	Não	20210903	20210903_1506	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente		Vila do João	-22.87262	-43.24102		
223	Não	20210903	20210903_1510	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Frequentemente	Rua 3 esquina com a rua 13	Vila do João	-22.87213	 -43.24139		
224	Não	20210903	20210903_1512	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Saúde esquina com Rua Conquista	Vila do João	-22.8715	-43.24234		
