,codificacao_foto,ano,mes,dia,data,Conta para gente o que está acontecendo,Em que categoria se encaixaria o problema,Categoria 2,Com que frequência isso ocorre,Consegue nos informar o endereço de onde a foto/vídeo foi tirada,Em que localidade fica,Insira a latitude do seu endereço (opcional),Insira a longitude do seu endereço (opcional),Você já tentou solucionar o problema de alguma forma,A quem recorreu
80,20210528_1258,2021,05,28,20210528.0,Acúmulo de entulho ,Acúmulo de lixo e entulho,Lixo,Ocasionalmente,"rua guiemo-nos frota , próximo a ""portelinha"" sem número",Baixa do Sapateiro,-22.862627,-43.243364,Sem informacao,Sem informacao
81,20210528_1329,2021,05,28,20210528.0,Vazamento na rua,Transbordamento de água,Esgoto,Frequentemente,ria da proclamação esquina com a Flávia Farnese na fábrica próxima ao número 140 (orquestra Maré do amanhã ),Baixa do Sapateiro,-22.860688374220413,-43.24551365546995,Sem informacao,Sem informacao
82,20210530_1630,2021,05,30,20210530.0,Canteiro com acúmulo de lixo junto as plantas,Acúmulo de lixo,Lixo,Diariamente,"Canteiro na rua praia de Inhauma próximo ao caixa 24h,",Morro do Timbau,-22.86403823121646,-43.23962088839711,Sem informacao,Sem informacao
83,20210531_0413,2021,05,31,20210531.0,"chove, acontece. problema de escoamento de água, trecho frequentemente alaga",Alagamento,Drenagem,Ocasionalmente,"rincipal, altura do Ravis",Nova Holanda,-22.8529,-43.24285,Sem informacao,Sem informacao
84,20210531_0419,2021,05,31,20210531.0,"mais alagamento. Trecho alaga com frequência maior ainda. morador inclusive pontuou que sempre que chove, tem que colocar madeira na parte de baixo da porta e dormir com as janelas fechadas devido o aumento do número de ratos",Alagamento,Drenagem,Ocasionalmente, rua do canal. ,Nova Holanda,-22.85292190183142,-43.24301929395271,Sem informacao,Sem informacao
85,20210531_1123,2021,05,31,20210531.0,Tudo alagado e esgoto aberto,Alagamento,Drenagem,Ocasionalmente,Via b9 vila do Pinheiro,Vila dos Pinheiros,-22.866899,-22.866899,Sem informacao,Sem informacao
86,20210531_1124,2021,05,31,20210531.0,Sempre que chove fica assim,Alagamento,Drenagem,Ocasionalmente,Próximo ao campo da toca Com a via b1,Vila dos Pinheiros,-22.868082,-43.239071,Sem informacao,Sem informacao
87,20210531_1154,2021,05,31,20210531.0,Sempre que chove fica assim,Alagamento,Drenagem,Ocasionalmente,Travessa 55 vila do Pinheiro,Vila dos Pinheiros,-22.868966,-43.237203,Sem informacao,Sem informacao
88,20210531_1314,2021,05,31,20210531.0,-Vídeo alagamento,Alagamento,Drenagem,Ocasionalmente,"Piscinão de Ramos, altura da Ouricuri com a Travessa Sto Antônio",Roquete Pinto,-22.842143798648216,-43.2472148192588,Sem informacao,Sem informacao
89,20210604_1950,2021,06,04,20210604.0,Esgoto vazando,Transbordamento de esgoto,Esgoto,Frequentemente,"beco na obrinha em frente a rua do meio, próximo ao mercadinho bom preço",Vila dos Pinheiros,-22.868900,-43.235548,Sem informacao,Sem informacao
90,20210607_1059,2021,06,07,20210607.0,Rua com extensa faixa de lixo e esgoto,Acúmulo de lixo e entulho,Lixo,Diariamente,"Rua 7 de março na baixa, esquina com a rua do serviço , próximo a Brasil ",Baixa do Sapateiro,-22.85788,-43.24683,Sem informacao,Sem informacao
91,20210607_1059 (2),2021,06,07,20210607.0,Rua com extensa faixa de lixo e esgoto,Esgoto a céu aberto,Esgoto,Diariamente,"Rua 7 de março na baixa, esquina com a rua do serviço , próximo a Brasil ",Baixa do Sapateiro,-22.858120256503373,-43.246798247132986,Sem informacao,Sem informacao
92,20210607_1328,2021,06,07,20210607.0,Imagem de Esgoto a Céu Aberto - extrema frequência. ,Esgoto a céu aberto,Drenagem,Diariamente,"Beco 7 de Setembro , Roquete Pinto.",Roquete Pinto,-22.841978,-43.247218,Sem informacao,Sem informacao
93,20210608_1316,2021,06,08,20210608.0,"Esgoto vazando, frequente",Transbordamento de esgoto,Esgoto,Frequentemente,via A1 vila do Pinheiro Próximo a travessa 56,Vila dos Pinheiros,-22.869234,-43.237755,Sem informacao,Sem informacao
94,20210610_1559,2021,06,10,20210610.0,Restos de galhos no  valão,Acúmulo de lixo e entulho,Lixo,Frequentemente,"valão, na av canal trezentos",Conjunto Esperança,-22.876226,-43.240597,Sem informacao,Sem informacao
95,20210610_2110,2021,06,10,20210610.0,Morador reclama que o ponto está começando a ter frequência de descarte de lixo e acúmulo. por ser um novo ponto de descarte/acúmulo não há coleta lá,Alagamento,Lixo,Frequentemente,rua Quinze de Janeiro com Rua do Miolo,Nova Holanda,-22.853702173323168,-43.24210599886001,Sem informacao,Sem informacao
96,20210610_2112,2021,06,10,20210610.0,"Esgoto exposto ao ar livre e não chega ao bueiro, ficando acumulado no canto da rua",Alagamento,Esgoto,Diariamente,Rua J.F. De Lima com Tancredo Neves,Parque Rubens Vaz,-22.852328627810998,-43.24107147567979,Sem informacao,Sem informacao
97,20210610_2117,2021,06,10,20210610.0,Problema frequente por um longo período da rua,Esgoto a céu aberto,Esgoto,Ocasionalmente,Rua Flávia Farnese com 17 de Fevereiro,Parque Maré,-22.858900518378526,-43.246056886466064,Sem informacao,Sem informacao
98,20210610_2121,2021,06,10,20210610.0,Sem informacao,Esgoto a céu aberto,Esgoto,Diariamente,"Principal, próximo a a esquina com a Sargento Silva Nunes",Nova Holanda,-22.854170661069517,-43.24257805696944,Sem informacao,Sem informacao
99,20210610_2125,2021,06,10,20210610.0,problema frequente de acúmulo e exposição de esgoto,Esgoto a céu aberto,Esgoto,Diariamente,Rua Maçaranduba próximo ao It’s boteco,Parque Rubens Vaz,-22.8531,-43.2456,Sem informacao,Sem informacao
