,ano,Mes,Localidade,Categoria,Subcategoria
155,2021,julho,Parque União,Esgoto,Bueiro entupido
156,2021,julho,Parque União,Esgoto,Bueiro entupido
157,2021,julho,Parque União,Esgoto,Transbordamento de esgoto
158,2021,julho,Parque União,Esgoto,Bueiro entupido
159,2021,julho,Parque União,Esgoto,Bueiro entupido
160,2021,julho,Parque União,Esgoto,Esgoto a céu aberto
161,2021,julho,Nova Holanda,Lixo,Acúmulo de lixo
162,2021,julho,Parque Maré,Lixo,Acúmulo de lixo e entulho
163,2021,julho,Parque Maré,Lixo,Acúmulo de lixo e entulho
164,2021,julho,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
165,2021,julho,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
166,2021,julho,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
167,2021,julho,Salsa e Merengue,Lixo,Acúmulo de lixo
168,2021,julho,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
169,2021,julho,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
170,2021,julho,Vila dos Pinheiros,Lixo,Acúmulo de lixo
171,2021,julho,Vila dos Pinheiros,Lixo,Acúmulo de lixo
172,2021,julho,Vila dos Pinheiros,Lixo,Acúmulo de lixo e entulho
173,2021,julho,Vila dos Pinheiros,Lixo,Acúmulo de lixo e entulho
174,2021,julho,Nova Holanda,Esgoto,Esgoto a céu aberto
175,2021,julho,Nova Maré,Esgoto,Esgoto a céu aberto
176,2021,julho,Nova Maré,Esgoto,Problemas com bueiro
177,2021,julho,Nova Maré,Esgoto,Esgoto a céu aberto
178,2021,julho,Nova Maré,Lixo,Acúmulo de lixo e entulho
179,2021,julho,Nova Maré,Esgoto,Esgoto a céu aberto
180,2021,julho,Nova Maré,Esgoto,Problemas com bueiro
181,2021,julho,Nova Maré,Lixo,Acúmulo de lixo
182,2021,julho,Nova Maré,Esgoto,Transbordamento de esgoto
183,2021,julho,Parque Maré,Esgoto,Esgoto a céu aberto
184,2021,julho,Parque Maré,Esgoto,Esgoto a céu aberto
185,2021,julho,Parque Maré,Lixo,Acúmulo de lixo e entulho
186,2021,julho,Parque Maré,Esgoto,Esgoto a céu aberto
187,2021,julho,Parque Maré,Lixo,Acúmulo de lixo
188,2021,julho,Parque Rubens Vaz,Esgoto,Bueiro entupido
189,2021,julho,Nova Holanda,Lixo,Acúmulo de lixo
190,2021,julho,Nova Holanda,Esgoto,Transbordamento de esgoto
191,2021,julho,Nova Holanda,Esgoto,Esgoto a céu aberto
